complaint_id,insurer,complaint_text
C001,Safeguard Insurance,I submitted my motor claim in October and it has now been four months with no payment. Safeguard Insurance keeps telling me the assessment is still ongoing. This is completely unacceptable.
C002,PrimeCover Ltd,My medical claim was submitted three months ago. PrimeCover Ltd has not processed it and I am now in debt because I had to pay the hospital out of pocket. I need urgent assistance.
C003,Safeguard Insurance,"Safeguard Insurance delayed my life insurance claim for over six months after my husband passed away. The grief alone is enough, the financial stress on top is unbearable."
C004,NovaSure Assurance,It has been two months since my vehicle was involved in an accident. NovaSure Assurance has not sent an assessor or responded to my follow-up calls. Their claims hotline rings with no answer.
C005,PrimeCover Ltd,PrimeCover promised to settle my property claim within 30 days. It has been 90 days and I have received nothing. I have sent four emails and visited their offices twice.
C006,Pinnacle Re,I have been waiting on my fire damage claim for over eight months. Pinnacle Re keeps requesting additional documents that they never told me about initially. This feels like deliberate obstruction.
C007,Safeguard Insurance,My motor claim was rejected because they said I did not disclose a previous accident. I disclosed everything on my application form. Safeguard Insurance is acting in bad faith.
C008,NovaSure Assurance,NovaSure rejected my hospitalisation claim citing a pre-existing condition clause that was never explained to me when I bought the policy. The agent told me I was fully covered.
C009,Pinnacle Re,My household contents claim was rejected without any clear reason. The rejection letter from Pinnacle Re simply said the event was not covered under the policy schedule. No explanation was given.
C010,PrimeCover Ltd,PrimeCover rejected my business interruption claim despite the policy clearly stating it covers pandemic-related closures. Their legal team is now citing a clause that contradicts the marketing materials I was shown.
C011,Safeguard Insurance,I was told my life cover claim is rejected because my husband did not disclose he was a smoker. He had not smoked for 15 years. Safeguard Insurance never asked about smoking history when the policy was renewed.
C012,Apex Life,Apex Life rejected my critical illness claim saying the condition I was diagnosed with is not on their approved list. This list was never shared with me during the sales process. I feel completely misled.
C013,NovaSure Assurance,"The NovaSure agent sold me a comprehensive health policy and assured me it covered dental procedures. When I went for a root canal, I was told dental is excluded. I feel deceived."
C014,Apex Life,An Apex Life broker convinced my elderly mother to surrender her existing policy and buy a new one. She lost her accumulated bonuses and was put on a higher premium. This was clearly not in her interest.
C015,PrimeCover Ltd,I was sold a savings-linked insurance plan by PrimeCover and told the returns would be guaranteed. After five years the returns are significantly lower than what I was shown in the projected illustration.
C016,Safeguard Insurance,Safeguard agent signed me up for a policy I did not understand and did not ask for. I only realised premiums were being deducted from my salary three months later. The agent forged my signature.
C017,NovaSure Assurance,NovaSure sold me a motor policy as third party but charged me comprehensive rates. I only discovered this when I tried to claim for my own vehicle damage and was told I was not covered.
C018,Pinnacle Re,"Pinnacle Re increased my annual premium by 45% with 14 days notice and no adequate explanation. The renewal letter arrived after the deadline, leaving me no time to seek alternatives."
C019,Apex Life,"Apex Life deducted double premiums from my account in January and February. Despite reporting this in writing, I have not received a refund or acknowledgement after two months."
C020,Safeguard Insurance,I cancelled my Safeguard policy in November and was told I would receive a pro-rata refund of unused premiums. Six months later I have received nothing and my calls are not returned.
C021,PrimeCover Ltd,PrimeCover continues to deduct premiums even though my policy lapsed. I have sent cancellation notices on three occasions. My bank confirms the deductions are still going through.
C022,NovaSure Assurance,NovaSure customer care team is impossible to reach. I have called over 20 times in the past month. Each time I am placed on hold and the call drops. My complaint reference number has not been responded to.
C023,Apex Life,"Apex Life branch staff are rude and dismissive. When I visited their Westlands office to follow up on my claim, the officer told me to go away and come back next week without any justification."
C024,Pinnacle Re,Pinnacle Re does not respond to emails. I have sent seven emails over 60 days and received one automated reply. There is no human follow-through on their digital complaint system.
C025,Safeguard Insurance,I have been trying to get a policy document from Safeguard for four months. They keep saying it is being processed. Without the document I cannot complete my mortgage application and I am losing money every day.
C026,Apex Life,Apex Life lapsed my life policy without notifying me that I had missed a premium. I only found out when my beneficiary tried to claim. Fourteen years of premiums are now forfeited.
C027,PrimeCover Ltd,"PrimeCover lapsed my pension policy claiming they could not reach me. My contact details had not changed. No email, no letter, no call. I received no grace period notification whatsoever."
C028,NovaSure Assurance,"After requesting a policy surrender from NovaSure, I was told I would receive my surrender value within 30 days. It has now been five months. Their finance department does not respond to correspondence."
C029,Pinnacle Re,Pinnacle Re cancelled my group medical policy mid-year without a valid reason and without returning the unexpired premium. My employees lost cover and I could not find a replacement in time.
C030,Safeguard Insurance,A Safeguard Insurance agent collected cash premiums from me for six months and never remitted them to the company. My policy is now listed as unpaid and I have no receipt to prove I paid.
C031,Apex Life,An Apex Life agent forged my signature on a policy amendment reducing my sum assured without my knowledge or consent. I only discovered this during my annual policy review.
C032,NovaSure Assurance,The NovaSure agent who sold me my policy is no longer contactable. He collected my first premium in cash and I now find out he was not a licensed agent. The policy does not appear to exist in NovaSure system.
C033,PrimeCover Ltd,A PrimeCover broker switched my beneficiary without my authorisation. My daughter was the registered beneficiary and has now been replaced by someone I do not know. This is fraudulent.
